#  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
spockNW            64.03857   -24.06994  56144.86   F105W   inf     0.0562   0.1058     29.3946   2.0436     AB   26.2688  -0.0006 0.0084  spock_f105w_e03-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56184.90   F105W   inf    -0.0114   0.1576     27.0823  -9.0000     AB   26.2688  -0.0009 0.0107  spock_f105w_e08-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56689.43   F105W   inf    -0.0981   0.1585     27.0762  -9.0000     AB   26.2688   0.0004 0.0062  spock_f105w_e37-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56869.98   F105W   inf    -0.0005   0.0669     28.0122  -9.0000     AB   26.2688  -0.0000 0.0037  spock_f105w_e41-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56870.98   F105W   inf     0.0602   0.0421     29.3194   0.7588     AB   26.2688  -0.0001 0.0037  spock_f105w_e42-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56877.68   F105W   inf    -0.0742   0.0984     27.5934  -9.0000     AB   26.2688   0.0003 0.0033  spock_f105w_e47-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56877.94   F105W   inf     0.0047   0.0452     32.0915  10.4660     AB   26.2688  -0.0001 0.0033  spock_f105w_e48-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56879.67   F105W   inf     0.0067   0.0423     31.7066   6.8672     AB   26.2688  -0.0002 0.0031  spock_f105w_e49-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56880.60   F105W   inf    -0.0027   0.0503     28.3217  -9.0000     AB   26.2688   0.0001 0.0032  spock_f105w_e50-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56880.86   F105W   inf    -0.0015   0.0594     28.1415  -9.0000     AB   26.2688   0.0000 0.0038  spock_f105w_e51-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56881.92   F105W   inf    -0.0572   0.0887     27.7061  -9.0000     AB   26.2688   0.0001 0.0037  spock_f105w_e52-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56890.02   F105W   inf    -0.0558   0.0912     27.6761  -9.0000     AB   26.2688   0.0002 0.0038  spock_f105w_e54-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56898.99   F105W   inf    -0.0042   0.0703     27.9591  -9.0000     AB   26.2688   0.0003 0.0039  spock_f105w_e57-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56899.25   F105W   inf     0.0006   0.0732     34.3316 133.4113     AB   26.2688   0.0006 0.0041  spock_f105w_e58-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56900.31   F105W   inf     0.0125   0.0591     31.0237   5.1167     AB   26.2688   0.0005 0.0039  spock_f105w_e60-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56984.58   F105W   inf    -0.1346   0.3848     26.1128  -9.0000     AB   26.2688  -0.0017 0.0203  spock_f105w_e67-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56991.68   F105W   inf    -0.2144   0.3505     26.2143  -9.0000     AB   26.2688  -0.0021 0.0165  spock_f105w_e68-e00_sub_masked.fits
spockNW            64.03857   -24.06994  57035.72   F105W   inf     0.1528   0.1792     28.3085   1.2732     AB   26.2688  -0.0022 0.0166  spock_f105w_e69-e00_sub_masked.fits
spockNW            64.03857   -24.06994  57040.57   F105W   inf     0.4079   0.1869     27.2424   0.4973     AB   26.2688  -0.0021 0.0214  spock_f105w_e70-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56132.22   F110W   inf     0.0976   0.0684     29.3480   0.7605     AB   26.8221  -0.0001 0.0071  spock_f110w_e02-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56170.80   F110W   inf    -0.2642   0.3709     26.7062  -9.0000     AB   26.8221   0.0004 0.0119  spock_f110w_e06-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56159.62   F125W   inf    -0.1063   0.1782     26.9101  -9.0000     AB   26.2302  -0.0003 0.0079  spock_f125w_e05-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56197.80   F125W   inf     0.1954   0.1225     28.0027   0.6805     AB   26.2302  -0.0004 0.0095  spock_f125w_e09-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56689.36   F125W   inf     0.0243   0.1407     30.2682   6.2991     AB   26.2302   0.0005 0.0078  spock_f125w_e37-e00_sub_masked.fits
