#  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
spockSE            64.03900   -24.07024  56144.86   F105W   inf    -0.1122   0.1825     26.9229  -9.0000     AB   26.2688  -0.0007 0.0086  spock_f105w_e03-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56184.90   F105W   inf     0.1061   0.1498     28.7040   1.5324     AB   26.2688  -0.0005 0.0112  spock_f105w_e08-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56689.43   F105W   inf    -0.0887   0.1506     27.1316  -9.0000     AB   26.2688   0.0003 0.0061  spock_f105w_e37-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56869.98   F105W   inf     0.0360   0.0475     29.8774   1.4321     AB   26.2688   0.0001 0.0037  spock_f105w_e41-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56870.98   F105W   inf     0.0076   0.0524     31.5616   7.4434     AB   26.2688  -0.0000 0.0038  spock_f105w_e42-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56877.68   F105W   inf    -0.0271   0.0770     27.8599  -9.0000     AB   26.2688   0.0003 0.0034  spock_f105w_e47-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56877.94   F105W   inf     0.0856   0.0329     28.9373   0.4172     AB   26.2688   0.0001 0.0035  spock_f105w_e48-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56879.67   F105W   inf    -0.0693   0.0895     27.6968  -9.0000     AB   26.2688  -0.0002 0.0033  spock_f105w_e49-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56880.60   F105W   inf    -0.0195   0.0589     28.1501  -9.0000     AB   26.2688   0.0001 0.0033  spock_f105w_e50-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56880.86   F105W   inf     0.0654   0.0362     29.2299   0.6014     AB   26.2688  -0.0001 0.0039  spock_f105w_e51-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56881.92   F105W   inf     0.0303   0.0516     30.0642   1.8486     AB   26.2688   0.0002 0.0038  spock_f105w_e52-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56890.02   F105W   inf     0.0411   0.0511     29.7339   1.3484     AB   26.2688   0.0003 0.0039  spock_f105w_e54-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56898.99   F105W   inf     0.1208   0.0375     28.5637   0.3371     AB   26.2688   0.0005 0.0041  spock_f105w_e57-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56899.25   F105W   inf     0.1661   0.0495     28.2177   0.3236     AB   26.2688   0.0005 0.0042  spock_f105w_e58-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56900.31   F105W   inf     0.1058   0.0468     28.7081   0.4806     AB   26.2688   0.0006 0.0040  spock_f105w_e60-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56984.58   F105W   inf    -0.1341   0.3712     26.1519  -9.0000     AB   26.2688  -0.0024 0.0212  spock_f105w_e67-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56991.68   F105W   inf    -0.3578   0.4416     25.9635  -9.0000     AB   26.2688  -0.0025 0.0171  spock_f105w_e68-e00_sub_masked.fits
spockSE            64.03900   -24.07024  57035.72   F105W   inf    -0.2347   0.3740     26.1438  -9.0000     AB   26.2688  -0.0019 0.0169  spock_f105w_e69-e00_sub_masked.fits
spockSE            64.03900   -24.07024  57040.57   F105W   inf     0.4423   0.2202     27.1546   0.5404     AB   26.2688  -0.0021 0.0217  spock_f105w_e70-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56132.22   F110W   inf     0.0744   0.0658     29.6434   0.9607     AB   26.8221  -0.0001 0.0073  spock_f110w_e02-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56170.80   F110W   inf    -0.3397   0.4526     26.4901  -9.0000     AB   26.8221   0.0006 0.0122  spock_f110w_e06-e00_sub_masked.fits
