# Pastorello et al. 2013 (2013ApJ...767....1P)
#
# Table 1
# Optical Photometry of SN 2009ip
#
# MJD      U    Uerr     B    Berr     V   Verr      R   Rerr      I   Ierr  Source  
55074.14   nan  nan      nan  nan      nan  nan      nan  nan    18.11 0.13    1  
55074.10   nan  nan      nan  nan      nan  nan    18.13 0.09      nan  nan    2  
55074.24   nan  nan      nan  nan    18.51 0.18      nan  nan      nan  nan    2  
55080.92   nan  nan      nan  nan    20.99 0.37      nan  nan      nan  nan    2  
55081.56   nan  nan      nan  nan    21.06 0.05    20.43 0.03      nan  nan    3  
55082.00   nan  nan      nan  nan    20.70 0.17      nan  nan      nan  nan    2  
55082.02   nan  nan      nan  nan    20.73 0.20      nan  nan      nan  nan    2  
55082.03   nan  nan      nan  nan      nan  nan    19.78 0.24      nan  nan    1  
55083.43   nan  nan      nan  nan      nan  nan    20.17 0.08      nan  nan    4  
55083.80   nan  nan      nan  nan    20.72 0.32      nan  nan      nan  nan    5  
55084.03   nan  nan      nan  nan    20.82 0.25      nan  nan      nan  nan    2  
55084.06   nan  nan      nan  nan      nan  nan    20.18 0.20      nan  nan    1  
55084.99   nan  nan      nan  nan    20.96 0.27      nan  nan      nan  nan    6  
55085.42   nan  nan      nan  nan      nan  nan    20.66 0.07      nan  nan    4  
55087.54   nan  nan      nan  nan    21.01 0.10    20.65 0.09    20.48 0.19    7  
55087.92   nan  nan      nan  nan      nan  nan      nan  nan    19.61 -9.0    1  
55088.10   nan  nan      nan  nan    21.01 0.30      nan  nan      nan  nan    6  
55088.81   nan  nan      nan  nan      nan  nan      nan  nan    19.78 -9.0    5  
55088.98   nan  nan      nan  nan      nan  nan      nan  nan    20.44 0.30    1  
55089.42   nan  nan      nan  nan      nan  nan    20.61 0.06      nan  nan    4  
55089.53   nan  nan      nan  nan    21.04 0.03    20.62 0.05    20.40 0.19    7  
55098.39   nan  nan      nan  nan      nan  nan    18.48 0.06      nan  nan    4  
55098.72   nan  nan      nan  nan    18.95 0.13      nan  nan      nan  nan    5  
55098.78   nan  nan      nan  nan      nan  nan      nan  nan    18.78 0.21    5  
55099.42   nan  nan    19.64 0.03    19.32 0.04    19.01 0.04    18.97 0.10    4  
55099.56   nan  nan      nan  nan    19.33 0.02    18.93 0.06      nan  nan    3  
55099.65   nan  nan      nan  nan    19.39 0.12      nan  nan      nan  nan    5  
55101.39   nan  nan    20.41 0.11    20.12 0.13    19.89 0.07    19.71 0.16    4  
55101.73   nan  nan      nan  nan    20.11 0.25      nan  nan      nan  nan    5  
