# original catalogue: arc_list.txt
# original data-cube: ../muse_ne/MACSJ0416_NE_DATACUBE_FINAL_caminha_zap.fits
# source ID: 10
# number of extracted pixels: 25
# extracted position: 64.038076 -24.069532
# wavelenth[Angstrom], flux[10**(-20)*erg/s/cm**2/Angstrom]
4750.0000 -1.760867e+00
4751.2500 3.489402e+01
4752.5000 1.717875e+01
4753.7500 -4.514827e+01
4755.0000 -1.353280e+01
4756.2500 1.035752e+01
4757.5000 2.335236e+01
4758.7500 -1.413219e+01
4760.0000 -6.467500e-01
4761.2500 7.971739e+00
4762.5000 5.566053e+01
4763.7500 1.304777e+01
4765.0000 4.103341e+01
4766.2500 1.767810e+01
4767.5000 -4.942889e+01
4768.7500 -9.631151e+00
4770.0000 5.164688e+01
4771.2500 4.869833e+00
4772.5000 -4.156740e+01
4773.7500 -7.164608e+00
4775.0000 3.170034e+01
4776.2500 7.021617e+00
4777.5000 -7.459746e+00
4778.7500 -3.819149e+00
4780.0000 3.055846e+00
4781.2500 -3.982500e+01
4782.5000 -3.123960e+01
4783.7500 -6.548355e+00
4785.0000 -4.608231e+00
4786.2500 9.776535e+00
4787.5000 -1.430928e+01
4788.7500 -3.817553e+01
4790.0000 -8.620143e+00
4791.2500 5.515842e-01
4792.5000 2.827000e+00
4793.7500 -2.383724e+01
4795.0000 1.285760e+01
4796.2500 1.813104e+01
4797.5000 -4.771150e+00
4798.7500 7.606684e+00
4800.0000 -5.357833e+00
4801.2500 8.554958e+00
4802.5000 6.057225e+00
4803.7500 -6.000545e+00
4805.0000 1.509940e+01
4806.2500 1.932862e+01
4807.5000 1.012845e+01
4808.7500 1.083975e+01
4810.0000 8.030990e+00
4811.2500 2.567978e+01
4812.5000 -9.035530e+00
4813.7500 -1.655509e+01
4815.0000 5.691776e-01
4816.2500 4.722175e+00
4817.5000 3.069451e+01
4818.7500 3.447012e+01
4820.0000 2.155010e+01
4821.2500 4.336388e+01
4822.5000 -2.098943e+01
4823.7500 -1.232622e+01
4825.0000 2.816111e+01
4826.2500 -9.460199e-01
4827.5000 1.702351e+01
4828.7500 -1.370282e+01
4830.0000 7.481755e+00
4831.2500 2.909374e+01
4832.5000 5.063881e+01
4833.7500 -5.060126e+00
4835.0000 -1.700639e+01
4836.2500 -1.331588e+01
4837.5000 -1.580848e+01
4838.7500 4.964167e+00
4840.0000 -7.210967e+00
4841.2500 -1.078669e+01
4842.5000 1.691145e+00
4843.7500 -1.735937e+01
4845.0000 5.941414e+00
4846.2500 -3.365374e+00
4847.5000 1.500842e+01
4848.7500 2.681559e+00
4850.0000 -8.676419e+00
4851.2500 1.378051e+01
4852.5000 -1.020481e+01
4853.7500 3.132489e+00
4855.0000 -8.326399e-01
4856.2500 -1.808253e+00
4857.5000 -3.502869e+00
4858.7500 -2.304315e+00
4860.0000 -2.417034e+01
4861.2500 2.456769e+00
4862.5000 1.269100e+01
4863.7500 -4.147255e+00
4865.0000 3.504620e+00
4866.2500 -8.606833e+00
4867.5000 -1.430012e+01
4868.7500 -1.386374e+01
4870.0000 -4.665180e+01
4871.2500 2.609710e+01
4872.5000 -3.824014e+00
4873.7500 -1.376826e+01
4875.0000 -3.438862e+00
4876.2500 1.868595e+01
4877.5000 2.624966e+01
4878.7500 3.535275e+01
4880.0000 -8.242137e+00
4881.2500 -3.461343e+01
4882.5000 1.586791e+01
4883.7500 7.830687e+00
4885.0000 -8.405921e+00
4886.2500 3.631666e+00
4887.5000 6.891444e-01
4888.7500 1.027219e+01
4890.0000 -2.915032e+01
4891.2500 4.022574e+00
4892.5000 -3.439112e-01
4893.7500 -3.765269e+01
4895.0000 -3.082558e+01
4896.2500 -8.373442e+00
4897.5000 -8.020411e+00
4898.7500 1.461609e+01
4900.0000 -1.652286e+01
4901.2500 -7.026455e+00
4902.5000 -1.604350e+01
4903.7500 -7.003623e+00
4905.0000 -1.547818e+01
4906.2500 3.689745e+00
4907.5000 6.261388e+00
4908.7500 1.529929e+01
4910.0000 1.287105e+01
4911.2500 8.638424e-01
4912.5000 3.569929e+00
4913.7500 3.121149e+00
4915.0000 -4.820886e+00
4916.2500 2.368024e+01
4917.5000 -9.810802e+00
4918.7500 2.369483e+01
4920.0000 7.798412e+00
4921.2500 -3.767980e+00
4922.5000 3.973393e-01
4923.7500 7.116945e+00
4925.0000 7.070614e+00
4926.2500 -9.338536e+00
4927.5000 3.366822e+00
4928.7500 9.076519e-01
4930.0000 -7.907788e+00
4931.2500 3.044958e+00
4932.5000 1.417034e+01
4933.7500 2.015225e+00
4935.0000 -1.213349e+01
4936.2500 2.077768e+01
4937.5000 3.560111e+01
4938.7500 -3.049673e+01
4940.0000 1.596613e+01
4941.2500 -1.573931e+00
4942.5000 -3.250611e+00
4943.7500 2.505304e+00
4945.0000 -3.171533e+01
4946.2500 1.103042e+01
4947.5000 8.173910e+00
4948.7500 1.940996e+00
4950.0000 9.466383e+00
4951.2500 -1.151927e+01
4952.5000 5.691934e+00
4953.7500 1.434224e+00
4955.0000 -6.588268e-02
4956.2500 -2.463971e+01
4957.5000 3.014126e+00
4958.7500 -1.110067e+01
4960.0000 -3.206829e+00
4961.2500 1.756099e+01
4962.5000 6.229513e-01
4963.7500 9.949336e+00
4965.0000 1.630510e+01
4966.2500 2.647951e+01
4967.5000 8.721588e+00
4968.7500 -1.094606e+01
4970.0000 -5.215432e+00
4971.2500 4.746697e+00
4972.5000 -1.796862e+01
4973.7500 -2.090250e+01
4975.0000 -6.729188e+00
4976.2500 -4.862813e+00
4977.5000 3.321837e+01
4978.7500 2.545426e+01
4980.0000 1.375071e+01
4981.2500 -1.324742e+01
4982.5000 4.640231e+00
4983.7500 -8.092356e+00
4985.0000 2.059598e+01
4986.2500 3.675027e-01
4987.5000 -2.264075e+01
4988.7500 -1.598276e+01
4990.0000 2.461021e+01
4991.2500 2.041801e+01
4992.5000 -1.111207e-01
4993.7500 1.577632e+01
4995.0000 -2.797393e+01
4996.2500 1.805678e+01
4997.5000 -1.472504e+01
4998.7500 -6.977884e+00
5000.0000 -2.285033e+01
5001.2500 -9.114973e+00
5002.5000 2.549401e+01
5003.7500 8.900194e+00
5005.0000 -6.084783e-01
5006.2500 -7.098727e+00
5007.5000 2.371803e+01
5008.7500 -7.304587e+00
5010.0000 -9.087482e+00
5011.2500 -7.939515e+00
5012.5000 -1.152263e+01
5013.7500 3.336881e+00
5015.0000 -1.403199e+01
5016.2500 5.282567e-01
