# original catalogue: arc_list.txt
# original data-cube: ../muse_ne/MACSJ0416_NE_DATACUBE_FINAL_caminha_zap.fits
# source ID: 11.3
# number of extracted pixels: 25
# extracted position: 64.03423 -24.06601
# wavelenth[Angstrom], flux[10**(-20)*erg/s/cm**2/Angstrom]
4750.0000 2.689124e+01
4751.2500 -4.762071e+01
4752.5000 -1.732262e+01
4753.7500 4.367999e+00
4755.0000 2.899772e+01
4756.2500 7.431421e+00
4757.5000 8.956394e+00
4758.7500 4.415587e+01
4760.0000 2.673057e+01
4761.2500 -8.658710e+00
4762.5000 3.373649e+01
4763.7500 2.003911e+01
4765.0000 -5.623109e+00
4766.2500 7.862928e+00
4767.5000 2.610136e+01
4768.7500 -3.666835e-01
4770.0000 -8.811012e+00
4771.2500 -7.008405e+00
4772.5000 -8.902987e+00
4773.7500 -1.499652e+01
4775.0000 2.381551e+01
4776.2500 -1.250484e+01
4777.5000 -1.465988e+01
4778.7500 1.464970e+01
4780.0000 1.325565e+01
4781.2500 -8.226194e-01
4782.5000 5.393854e+00
4783.7500 4.641845e+01
4785.0000 3.731458e+01
4786.2500 1.375900e+01
4787.5000 -9.139836e+00
4788.7500 -8.419523e+00
4790.0000 1.338881e+01
4791.2500 -8.900904e+00
4792.5000 -1.569695e+01
4793.7500 6.224330e+00
4795.0000 -2.645032e+01
4796.2500 -8.370313e-01
4797.5000 3.849260e+01
4798.7500 -5.027614e+00
4800.0000 -1.517951e+01
4801.2500 1.211246e+01
4802.5000 -2.278524e+00
4803.7500 7.163708e+01
4805.0000 1.465297e+00
4806.2500 3.439434e+01
4807.5000 -1.246967e+01
4808.7500 -1.906789e+01
4810.0000 1.039822e+01
4811.2500 -1.132608e+01
4812.5000 4.422970e+00
4813.7500 5.721372e+00
4815.0000 5.253663e+00
4816.2500 -2.489453e+01
4817.5000 -9.255057e+00
4818.7500 -1.134520e+01
4820.0000 -1.984814e+01
4821.2500 1.179868e-02
4822.5000 1.183667e+01
4823.7500 -2.124232e+01
4825.0000 1.585869e+01
4826.2500 3.177560e+01
4827.5000 8.523981e+00
4828.7500 1.661037e+01
4830.0000 -1.808532e+01
4831.2500 2.474701e+01
4832.5000 -1.547250e-01
4833.7500 -1.916762e+00
4835.0000 -4.561128e+01
4836.2500 -7.036651e+00
4837.5000 -2.253271e+01
4838.7500 -1.931423e+01
4840.0000 1.214089e+01
4841.2500 -4.587485e+01
4842.5000 -3.968867e-01
4843.7500 1.512933e+00
4845.0000 -3.169416e+00
4846.2500 -2.899166e+01
4847.5000 4.374851e+01
4848.7500 1.663578e+01
4850.0000 3.900974e+01
4851.2500 -1.481631e+01
4852.5000 -6.363694e+00
4853.7500 2.536592e+01
4855.0000 -9.400318e+00
4856.2500 1.223503e+01
4857.5000 1.341950e+01
4858.7500 -3.911185e+01
4860.0000 1.214751e+00
4861.2500 1.908149e+00
4862.5000 2.480171e+01
4863.7500 4.216289e+01
4865.0000 -1.068102e+01
4866.2500 1.010426e+00
4867.5000 -1.895129e+00
4868.7500 -2.021764e+01
4870.0000 -6.145943e+00
4871.2500 -2.563736e+01
4872.5000 3.790142e+00
4873.7500 2.596285e+01
4875.0000 -2.329212e+01
4876.2500 -2.366672e+00
4877.5000 7.343994e+00
4878.7500 -5.178733e+00
4880.0000 -9.882801e+00
