# original catalogue: arc_list.txt
# original data-cube: ../muse_ne/MACSJ0416_NE_DATACUBE_FINAL_caminha_zap.fits
# source ID: spock2
# number of extracted pixels: 25
# extracted position: 64.038998 -24.070241
# wavelenth[Angstrom], flux[10**(-20)*erg/s/cm**2/Angstrom]
4750.0000 1.154808e+01
4751.2500 3.394765e+01
4752.5000 -2.068952e+01
4753.7500 2.612682e+01
4755.0000 -1.475849e+01
4756.2500 6.334634e-01
4757.5000 1.899370e+00
4758.7500 -1.465430e+01
4760.0000 2.552794e+01
4761.2500 8.085057e+00
4762.5000 4.913225e+01
4763.7500 -9.106946e+00
4765.0000 -6.457810e+00
4766.2500 -1.602480e+01
4767.5000 2.125035e+01
4768.7500 5.059075e+01
4770.0000 4.952413e+01
4771.2500 2.250102e+01
4772.5000 4.168115e+00
4773.7500 6.647688e+00
4775.0000 3.683750e+01
4776.2500 4.504979e+01
4777.5000 -2.434542e+00
4778.7500 2.952323e+01
4780.0000 2.138864e+01
4781.2500 -6.222744e+00
4782.5000 1.241414e+01
4783.7500 6.863461e+00
4785.0000 -2.692060e+01
4786.2500 -9.097357e+00
4787.5000 -1.495756e+01
4788.7500 4.004432e+00
4790.0000 1.613257e+01
4791.2500 2.251323e+01
4792.5000 1.425076e+01
4793.7500 1.050675e+01
4795.0000 -1.370179e+01
4796.2500 -4.316098e+00
4797.5000 -1.196372e+01
4798.7500 -3.897346e+00
4800.0000 5.015308e+01
4801.2500 2.779579e+01
4802.5000 3.596410e+01
4803.7500 3.274740e+00
4805.0000 1.300229e+01
4806.2500 3.455961e+01
4807.5000 4.726632e+01
4808.7500 2.653573e+01
4810.0000 -1.926409e+01
4811.2500 1.122265e+01
4812.5000 9.372658e+00
4813.7500 -8.002214e+00
4815.0000 1.290326e+01
4816.2500 1.155027e+01
4817.5000 -1.377225e+00
4818.7500 8.471023e+00
4820.0000 7.058945e+00
4821.2500 2.790898e+01
4822.5000 1.897690e+01
4823.7500 -1.759404e+01
4825.0000 -2.015842e+01
4826.2500 4.517180e+00
4827.5000 -1.294819e+01
4828.7500 5.789707e+01
4830.0000 1.552991e+00
4831.2500 -1.703041e+01
4832.5000 8.325933e+00
4833.7500 5.074685e+01
4835.0000 -6.885326e+00
4836.2500 3.098272e+01
4837.5000 2.059221e+01
4838.7500 7.838211e+00
4840.0000 1.311547e+01
4841.2500 3.931100e+00
4842.5000 2.069770e+01
4843.7500 2.831882e+01
4845.0000 7.990984e+00
4846.2500 2.413530e+01
4847.5000 1.949683e+01
4848.7500 -7.722535e+00
4850.0000 1.145975e+01
4851.2500 1.562341e+01
4852.5000 4.162831e+01
4853.7500 2.527307e+00
4855.0000 -6.832933e+00
4856.2500 9.667995e+00
4857.5000 1.815900e+01
4858.7500 1.947986e+01
4860.0000 -4.963688e+00
4861.2500 -6.068396e+00
4862.5000 4.158921e+01
4863.7500 6.822073e+00
4865.0000 4.106244e+01
4866.2500 3.560514e+01
4867.5000 -9.799732e+00
4868.7500 5.797514e+01
4870.0000 3.526952e+01
4871.2500 6.461142e+00
4872.5000 2.698902e+01
4873.7500 4.102899e+01
4875.0000 6.427505e+00
4876.2500 -1.713801e+01
4877.5000 1.765546e+01
4878.7500 2.961135e+01
4880.0000 3.082398e+01
4881.2500 5.439528e+01
4882.5000 2.882847e+01
4883.7500 3.440797e+00
4885.0000 2.619917e+01
4886.2500 1.918829e+00
4887.5000 2.272492e+01
4888.7500 3.918736e+00
4890.0000 4.554874e+01
4891.2500 1.688672e+01
4892.5000 8.707333e+00
4893.7500 7.443482e-02
4895.0000 4.599665e+01
4896.2500 2.641139e+01
4897.5000 2.644390e+01
4898.7500 4.861629e+01
4900.0000 5.759267e+01
4901.2500 1.005070e+01
4902.5000 3.207432e+01
4903.7500 3.100377e+01
4905.0000 -1.831879e+01
4906.2500 1.867217e+01
4907.5000 3.343887e+01
4908.7500 4.934340e+01
4910.0000 2.696127e+01
4911.2500 1.444659e+01
4912.5000 9.766324e+00
4913.7500 1.377361e+01
4915.0000 2.882076e+01
4916.2500 9.945118e+00
4917.5000 1.794895e+01
4918.7500 3.779773e+01
4920.0000 1.682220e+01
4921.2500 4.157111e+01
4922.5000 3.491797e+01
4923.7500 -6.480136e+00
4925.0000 1.743139e+01
4926.2500 1.581581e+01
4927.5000 -9.279078e+00
4928.7500 2.246114e+01
4930.0000 3.403973e+01
4931.2500 8.555880e+00
4932.5000 4.331006e+00
4933.7500 1.529418e+01
4935.0000 -1.517727e+01
4936.2500 2.022150e+01
4937.5000 5.226977e+01
4938.7500 1.428942e+01
4940.0000 8.392751e+00
4941.2500 2.937172e+01
4942.5000 1.939112e+00
4943.7500 9.114468e+00
4945.0000 6.040727e+00
4946.2500 2.767221e+01
4947.5000 8.255793e+00
4948.7500 1.503298e+01
4950.0000 -9.078718e+00
4951.2500 2.834261e+01
4952.5000 1.415786e+01
4953.7500 2.605579e+01
4955.0000 3.249461e+01
4956.2500 2.235089e+01
4957.5000 2.159327e+01
4958.7500 2.493006e+01
4960.0000 4.405341e+01
4961.2500 3.175840e+01
4962.5000 3.558706e+01
4963.7500 1.240074e+01
4965.0000 9.784800e+00
4966.2500 4.981208e+01
4967.5000 3.820383e+01
4968.7500 2.874280e+01
4970.0000 6.835088e+00
4971.2500 -3.263160e+00
4972.5000 -1.605657e+01
4973.7500 -9.208483e+00
4975.0000 1.405332e+01
4976.2500 -1.667284e+01
4977.5000 3.083689e+01
4978.7500 2.084247e+01
4980.0000 1.080707e+01
4981.2500 3.341168e+00
4982.5000 2.038969e+01
4983.7500 -1.801382e+01
4985.0000 1.128232e+01
4986.2500 2.564205e+01
4987.5000 4.119135e+00
4988.7500 1.105635e+01
4990.0000 3.743861e+01
4991.2500 2.547866e+01
4992.5000 1.461145e+01
4993.7500 3.163631e+01
4995.0000 3.196585e+01
4996.2500 3.450219e+01
4997.5000 2.827313e+01
4998.7500 -3.171575e+01
5000.0000 1.638239e+01
5001.2500 2.431333e+01
5002.5000 1.779991e+01
5003.7500 -3.975776e+00
5005.0000 1.237403e+01
5006.2500 3.221294e+01
5007.5000 8.076177e+01
5008.7500 -1.447488e+01
5010.0000 1.771983e+01
5011.2500 2.445873e+01
5012.5000 1.203911e+01
5013.7500 2.344078e+01
5015.0000 1.659746e+01
5016.2500 2.847656e+01
5017.5000 2.039371e+01
5018.7500 -2.356828e+00
5020.0000 -1.305189e+01
5021.2500 -1.038829e+01
5022.5000 -1.675130e+01
5023.7500 -4.665356e+00
5025.0000 7.399882e+00
5026.2500 1.294734e+01
5027.5000 1.972079e+01
5028.7500 2.167243e+01
5030.0000 2.190234e+01
5031.2500 3.410406e+01
5032.5000 -8.349235e+00
5033.7500 -1.144942e+01
5035.0000 1.403816e+01
5036.2500 1.036996e+01
5037.5000 2.631204e+00
5038.7500 4.125667e+00
5040.0000 1.421749e+01
5041.2500 2.062324e+01
5042.5000 1.078571e+01
5043.7500 2.207866e+00
5045.0000 1.825985e+01
5046.2500 1.725342e+01
5047.5000 2.140867e+01
5048.7500 2.345666e+01
5050.0000 1.531200e+01
5051.2500 2.535566e+01
5052.5000 3.416748e+01
5053.7500 9.120358e+00
5055.0000 3.155166e+01
5056.2500 1.833860e+01
5057.5000 7.332794e+00
5058.7500 3.201596e+01
5060.0000 1.600133e+01
5061.2500 3.208831e+01
5062.5000 2.604828e+01
5063.7500 7.971664e+00
5065.0000 3.664303e+01
5066.2500 1.777725e+01
5067.5000 -1.457313e+01
5068.7500 1.202147e+01
5070.0000 1.364545e+01
5071.2500 -4.950897e+00
5072.5000 -4.675502e+00
5073.7500 2.109087e+01
5075.0000 -1.106249e+01
5076.2500 2.271118e+01
5077.5000 -8.220831e+00
5078.7500 7.241583e+00
5080.0000 7.585813e+00
5081.2500 2.066648e+01
5082.5000 2.469885e+01
5083.7500 1.292606e+01
5085.0000 1.457592e+01
5086.2500 4.111869e+01
5087.5000 1.552493e+01
5088.7500 -5.689523e+00
5090.0000 9.790288e-01
5091.2500 1.651705e+01
5092.5000 2.101229e+01
5093.7500 -3.712535e+00
5095.0000 -6.779515e+00
5096.2500 8.527557e+00
5097.5000 2.069508e+01
5098.7500 -1.619971e+01
5100.0000 5.422432e-01
5101.2500 3.210452e+01
5102.5000 1.265781e+01
5103.7500 1.752408e+01
5105.0000 1.577077e+01
5106.2500 3.752387e+00
5107.5000 2.746854e+01
5108.7500 3.909550e+01
5110.0000 9.013027e+00
5111.2500 -1.847304e+00
5112.5000 2.586153e+01
5113.7500 2.659206e+01
5115.0000 -5.167265e+00
5116.2500 -5.831831e-01
5117.5000 3.961248e+00
