# R. Kawamata 1/2016
# magnification_NW, time-delay_NW, 
# magnification_SE, time-delay_SE, magnification_11.3, and time-delay_11.3.
# The time delays are given in days with respect to 11.3
#  mu1        dt31            mu2           dt32          mu3          
-3.167390e+01  1.749841e+03  8.121770e+01  1.746343e+03  3.053200e+00  
-7.212380e+01  1.433924e+03  1.462402e+02  1.433321e+03  3.521800e+00  
-8.110980e+01  1.565873e+03  1.247135e+02  1.565096e+03  3.259200e+00  
-3.921160e+01  1.498731e+03  8.531310e+01  1.496150e+03  3.311900e+00  
-3.802960e+01  1.407702e+03  9.330900e+01  1.405565e+03  3.442200e+00  
-2.795170e+01  1.321636e+03  1.353171e+02  1.316672e+03  3.451100e+00  
-1.974220e+01  1.362998e+03  4.451740e+01  1.354070e+03  3.410800e+00  
-2.387980e+01  1.395568e+03  6.271540e+01  1.388806e+03  3.447000e+00  
-2.821800e+01  1.439164e+03  5.162410e+01  1.434996e+03  3.422300e+00  
-1.995960e+01  1.305216e+03  4.085660e+01  1.296263e+03  3.592000e+00  
-1.880600e+01  1.493259e+03  4.784770e+01  1.483534e+03  3.256100e+00  
-2.149350e+01  1.538055e+03  6.171990e+01  1.530362e+03  3.241600e+00  
-4.495860e+01  1.719074e+03  8.219560e+01  1.717599e+03  3.086800e+00  
-3.616880e+01  1.649809e+03  8.847720e+01  1.647014e+03  3.129700e+00  
-2.522440e+01  1.561949e+03  6.419770e+01  1.556156e+03  3.291300e+00  
-2.405690e+01  1.637698e+03  5.606510e+01  1.631838e+03  3.189000e+00  
-2.641650e+01  1.726758e+03  7.219110e+01  1.721541e+03  3.130100e+00  
-1.338767e+02  1.939212e+03  2.223881e+02  1.939094e+03  2.883100e+00  
-2.364450e+01  1.918732e+03  7.534300e+01  1.912710e+03  2.834100e+00  
-2.206940e+01  1.819370e+03  1.030349e+02  1.812763e+03  2.946700e+00  
-2.113440e+01  1.860033e+03  9.249290e+01  1.852008e+03  2.911800e+00  
-1.749040e+01  1.760923e+03  8.751290e+01  1.749208e+03  2.937200e+00  
-3.206430e+01  1.778750e+03  1.055250e+02  1.775625e+03  2.985400e+00  
-1.893740e+01  1.788046e+03  1.408401e+02  1.778736e+03  2.951300e+00  
-1.500960e+01  1.542803e+03  8.208320e+01  1.526202e+03  3.150300e+00  
-1.334550e+01  1.502032e+03  2.990950e+01  1.483065e+03  3.147700e+00  
-1.672870e+01  1.569613e+03  5.084060e+01  1.557436e+03  3.114700e+00  
-2.073220e+01  1.670944e+03  4.704470e+01  1.663420e+03  2.978600e+00  
-2.311960e+01  1.925926e+03  6.443090e+01  1.919687e+03  2.815300e+00  
-4.247870e+01  1.784849e+03  1.878325e+02  1.782883e+03  3.009600e+00  
-2.082742e+02  1.878779e+03  2.978308e+02  1.878733e+03  2.939100e+00  
