# m_1o t_1o t_3o x_1p chi t_2p m_1p m_2p x_2p y_1p x_sr m_3p x_3p t_3p y_3p t_2o y_sr t_1p m_3o y_2p m_2o
-95.678 0.0 -2320.3 -1.3592 2.19 -0.56153 -108.38 69.579 -2.8502 -8.9408 3.2283 3.148 13.074 -1950.1 4.6296 37.19 -10.01 0.0 2.9173 -9.8856 77.422
-70.533 0.0 -2160.9 -1.7419 36.35 -0.58639 -111.19 52.436 -3.1086 -9.2096 3.6474 3.1116 13.133 -1943.9 4.8172 40.095 -10.222 0.0 2.9836 -10.098 164.16
-588.73 0.0 -2140.1 -0.8762 103.5 -0.32724 -113.77 144.96 -2.1808 -8.5661 3.5305 3.1089 12.873 -1832.1 4.8128 35.078 -10.223 0.0 2.9503 -9.4191 51.081
-160.14 0.0 -2183.7 -1.0802 19.54 -0.54276 -105.04 94.082 -2.6313 -8.7353 3.5535 3.0882 12.978 -1941.5 4.8527 36.293 -10.089 0.0 2.9583 -9.7349 62.613
-172.61 0.0 -2253.4 -1.0985 15.98 -0.49768 -118.67 95.279 -2.6783 -8.7449 3.6536 3.0343 13.252 -1906.4 4.6196 40.01 -10.269 0.0 2.8425 -9.7634 69.354
-87.708 0.0 -2246.5 -1.4084 3.538 -0.58614 -107.2 63.092 -2.9077 -8.9895 3.5026 3.0837 12.994 -1944.3 4.7531 46.479 -10.261 0.0 2.9158 -9.9145 82.494
-104.49 0.0 -2191.6 -1.1744 8.999 -0.71626 -83.247 68.791 -2.7196 -8.8037 3.6754 3.0887 13.193 -1902.6 4.6861 38.099 -10.139 0.0 2.9404 -9.7955 56.372
-72.656 0.0 -2362.4 -1.6719 21.56 -0.48663 -115.94 61.827 -2.9994 -9.1578 3.5232 3.1352 12.878 -1948.7 4.6604 40.236 -10.288 0.0 2.9085 -10.011 116.97
-251.98 0.0 -2137.6 -0.9347 46.9 -0.52705 -103.46 110.08 -2.4935 -8.631 3.5688 3.0892 13.145 -1906.7 4.7952 36.961 -10.146 0.0 2.9624 -9.6307 58.367
-70.368 0.0 -2161.9 -1.6463 23.22 -0.63371 -104.88 51.875 -3.0675 -9.1469 3.589 3.1982 13.159 -1897.6 4.7314 42.23 -10.105 0.0 3.0302 -10.05 124.85
-211.15 0.0 -2167.9 -0.97163 39.13 -0.56043 -99.727 101.33 -2.524 -8.6585 3.5918 3.0975 13.103 -1937.8 4.8174 37.116 -10.209 0.0 2.9784 -9.6546 57.43
-187.97 0.0 -2150.9 -1.0021 41.3 -0.54702 -93.531 93.817 -2.474 -8.677 3.6343 3.1855 13.076 -1806.8 4.6659 37.257 -10.271 0.0 2.9954 -9.6218 50.758
-217.24 0.0 -2219.9 -0.95387 65.0 -0.55652 -82.729 89.47 -2.3359 -8.6347 3.3239 3.1992 12.945 -1845.5 4.6711 31.127 -10.199 0.0 3.0055 -9.5304 42.806
-327.6 0.0 -2170.4 -0.92787 81.36 -0.42163 -100.61 111.89 -2.2603 -8.6052 3.4835 3.2676 13.011 -1733.1 4.5588 31.292 -10.226 0.0 3.0141 -9.4779 47.008
-154.5 0.0 -2126.0 -1.1365 17.04 -0.50242 -111.21 97.932 -2.612 -8.7709 3.1041 3.2653 13.038 -1793.4 4.6718 30.651 -9.9939 0.0 3.0635 -9.724 64.55
-94.282 0.0 -2303.3 -1.6782 23.22 -0.42993 -149.29 66.488 -3.0201 -9.1605 3.2563 3.1634 13.114 -1901.6 4.5845 38.555 -10.298 0.0 2.9081 -10.022 147.7
-138.51 0.0 -2133.7 -1.3008 2.757 -0.50867 -148.23 74.859 -2.8979 -8.9048 3.5752 3.0868 13.231 -1892.8 4.7472 43.503 -10.253 0.0 2.9384 -9.9087 99.661
-72.75 0.0 -2186.2 -1.5907 18.56 -0.67967 -104.49 52.705 -3.0639 -9.1179 3.3665 3.0925 13.151 -2003.0 4.8337 43.754 -10.173 0.0 2.9785 -10.034 119.52
-136.64 0.0 -2174.1 -1.1846 6.242 -0.60234 -115.08 79.271 -2.7997 -8.8115 3.5498 3.0487 13.279 -1960.8 4.7649 38.233 -10.247 0.0 2.9277 -9.8503 77.869
-126.33 0.0 -2216.3 -1.2283 5.632 -0.53875 -111.58 85.3 -2.7363 -8.8295 3.6949 3.1244 13.094 -1898.4 4.7193 36.291 -10.403 0.0 2.9555 -9.8203 71.794
-64.67 0.0 -2111.8 -1.8858 65.78 -0.59298 -107.1 45.338 -3.1895 -9.3302 3.624 3.0223 13.307 -2066.2 4.9544 46.567 -10.143 0.0 2.9768 -10.149 285.91
-180.18 0.0 -2068.4 -1.1235 11.33 -0.45229 -140.55 98.907 -2.7408 -8.7915 3.1666 3.2316 12.944 -1831.8 4.8539 39.9 -9.9935 0.0 3.0835 -9.7872 81.233
-104.84 0.0 -2223.5 -1.2049 6.167 -0.66553 -91.741 68.764 -2.7767 -8.8509 3.3411 3.0663 13.095 -1964.2 4.7556 42.261 -9.9963 0.0 2.9277 -9.8144 62.685
-424.86 0.0 -2183.0 -0.90841 89.66 -0.32357 -113.2 142.03 -2.2265 -8.6131 3.5528 3.1029 12.681 -1813.5 4.8035 43.03 -10.361 0.0 2.9275 -9.4446 50.664
-367.59 0.0 -2315.1 -0.92986 69.54 -0.3477 -119.57 144.15 -2.3308 -8.6211 3.1349 3.0837 13.038 -1868.4 4.5652 36.954 -10.218 0.0 2.8362 -9.5177 57.035
-450.68 0.0 -2143.6 -0.89407 81.08 -0.33987 -120.66 152.13 -2.2865 -8.5977 3.0484 3.1044 12.854 -1846.3 4.8296 35.604 -10.134 0.0 2.9511 -9.4862 57.018
-190.43 0.0 -2344.4 -1.0347 33.08 -0.47094 -104.61 104.35 -2.5217 -8.7103 3.0167 2.9814 13.006 -1970.0 4.6635 36.432 -10.078 0.0 2.7943 -9.6488 56.872
-133.92 0.0 -2305.2 -1.1511 14.8 -0.4972 -102.86 88.699 -2.6371 -8.8056 3.2739 2.9443 12.852 -1940.8 4.7432 45.396 -10.373 0.0 2.7849 -9.7249 59.253
-150.58 0.0 -2347.7 -0.93621 38.97 -0.80922 -68.588 71.58 -2.5679 -8.6683 3.6536 2.8088 13.108 -2215.7 4.9457 48.523 -10.282 0.0 2.7548 -9.6634 44.356
-99.271 0.0 -2280.2 -1.282 3.337 -0.66033 -105.36 60.267 -2.91 -8.9155 3.2583 2.9097 13.041 -2109.3 4.9122 47.427 -10.162 0.0 2.8196 -9.9012 79.268
-750.36 0.0 -2227.6 -0.83736 114.4 -0.37462 -98.488 129.87 -2.1606 -8.5515 3.0373 2.9419 13.099 -2040.7 4.8729 35.143 -10.062 0.0 2.8491 -9.3901 46.319
-168.98 0.0 -2353.9 -1.0362 25.59 -0.56286 -97.712 91.485 -2.605 -8.7064 3.3044 2.913 13.135 -2064.6 4.7399 38.205 -10.194 0.0 2.768 -9.7099 58.1
-142.51 0.0 -2243.4 -0.93247 31.95 -0.97046 -68.599 64.251 -2.6772 -8.6579 3.3039 2.7841 13.432 -2288.2 5.0033 38.749 -9.9029 0.0 2.7884 -9.741 48.755
-359.45 0.0 -2121.3 -0.91407 86.98 -0.40074 -100.16 113.83 -2.2383 -8.593 3.0015 3.2122 12.927 -1728.8 4.6445 27.388 -9.9144 0.0 2.9922 -9.4637 45.484
