#    mu1      mu2       mu3       dt21     dt31      delx1  dely1  delx2  dely2  delx3  dely3
   -18.28    15.86     2.76        9.94    699.57    -0.97   0.79   0.42  -0.33  -1.85  -2.09
   -15.81    19.38     4.11        9.88    996.11    -0.97   0.79   0.42  -0.33  -2.05  -2.09
   -12.61     9.51     1.87        9.34   1510.42    -0.57   0.39   0.42  -0.12  -3.25  -2.49
   -16.44    13.95     3.23        9.09   1054.91    -0.57   0.39   0.42  -0.33  -0.04  -1.09
   -12.14    12.32     4.03       10.61   1223.38    -0.37   0.39   0.42  -0.33  -2.45  -1.89
   -15.36    26.88     3.98       10.51    866.67    -0.97   0.79   0.42  -0.33  -1.25  -1.89
   -22.10    19.81     2.39       10.56   1181.88    -0.57   0.39   0.42  -0.33  -2.25  -1.49
   -24.41    20.72     5.96        9.68    537.68    -1.17   0.79   0.42  -0.33   0.56  -3.09
    -3.40     8.35     2.73       45.05    838.60    -4.38   2.79   1.82  -2.13  -0.44  -3.69
   -18.48    16.80     2.84       10.36   1135.50    -1.17   0.79   0.42  -0.33   0.16  -1.89
    -8.92    15.32     3.24       59.95    330.21    -4.58   3.39   1.82  -1.73  -1.45  -1.89
    -6.96     5.66     2.14       17.49   3264.39    -0.37   0.19   0.22   0.08  -2.65   1.52
    -4.12     5.70     3.12       14.59   2027.81    -0.17  -0.01   0.02   0.08  -2.45  -1.49
   -56.29    35.11     3.99       10.92    771.78    -1.77   1.39   0.42  -0.33  -0.04  -1.89
   -33.11    29.24     8.70       10.81    364.71    -1.77   1.39   0.42  -0.33   1.36  -4.49
   -15.20    11.02     3.22       10.01    580.68    -0.57   0.39   0.42  -0.12  -3.05  -1.89
   -24.39    21.06    11.34       10.31    253.02    -0.97   0.79   0.42  -0.33   1.16  -4.49
   -26.91    18.04     2.91       10.56    678.50    -0.97   0.99   1.02  -0.53  -1.45  -1.49
   -11.80     8.72     2.02       11.40   1837.18    -0.37   0.39   0.22  -0.12  -1.65  -1.09
   -14.00    10.31     2.19        9.15    797.75    -0.57   0.59   0.42  -0.33  -1.25  -2.49
    -8.39    12.56     5.23       10.26    863.17    -0.37   0.19   0.22  -0.33   0.96  -3.09
    -5.17     6.96     2.54       21.75   2817.50    -0.17   0.19   0.02   0.08  -3.05  -1.09
    -4.62     3.53     1.77       19.33   4362.29    -0.17   0.19   0.02  -0.12  -4.65   0.11
    -9.62    12.52     2.65        8.13   1856.30    -0.57   0.39   0.42  -0.12   0.56   0.52
   -49.16    43.04     1.92       -0.86   2305.68     0.83  -0.61  -1.58   1.08  -3.85  -2.69
   -14.83     3.74     3.06      135.80    932.04     1.03  -0.81   2.43  -4.73  -2.05  -4.09
    -7.72     7.40     2.70        9.00    652.07    -0.37   0.39   0.42  -0.12   2.16  -1.69
   -17.26    11.58     6.30        8.85    536.62    -0.57   0.39   0.42  -0.33   0.56  -3.69
   -11.90     8.62     5.91        8.68    346.77    -0.57   0.39   0.42  -0.33   4.56  -2.49
   -10.92    11.54     3.36        6.47   1045.35    -0.37   0.19   0.42  -0.33  -0.64  -3.09
   -10.27     7.29     3.81       12.60    470.80    -0.37  -0.01   0.22  -0.12   2.36  -4.89
    -4.38     4.11     2.24       17.82   4052.39    -0.17   0.19   0.22   0.08  -3.25   0.72
