# M31N 2008-12a 
# 2014 eruption UV/optical color curves
# Darnley et al. 2014, A+A, 580, 45
#   t   color  mag     magerr
 -0.158 B-V    0.290  0.170
  0.119 B-V    0.200  0.200
  0.180 B-V    0.122  0.022
  0.226 B-V    0.123  0.020
  0.283 B-V    0.140  0.020
  0.341 B-V    0.138  0.020
  0.386 B-V    0.145  0.018
  0.436 B-V    0.146  0.019
  0.468 B-V    0.170  0.060
  0.484 B-V    0.185  0.019
  1.200 B-V    0.014  0.040
  1.246 B-V    0.097  0.040
  1.315 B-V    0.095  0.043
  1.393 B-V    0.158  0.041
  1.466 B-V    0.055  0.035
  2.178 B-V   -0.227  0.137
  2.252 B-V   -0.111  0.075
  2.326 B-V   -0.275  0.081
  2.401 B-V   -0.144  0.085
  2.474 B-V   -0.153  0.109
  3.181 B-V    0.174  0.125
  3.322 B-V   -0.074  0.080
  3.487 B-V   -0.237  0.110
  6.129 B-V    0.079  0.147
  0.185 V-r'   0.126  0.019
  0.231 V-r'   0.086  0.017
  0.288 V-r'   0.101  0.017
  0.346 V-r'   0.145  0.017
  0.391 V-r'   0.145  0.017
  0.440 V-r'   0.173  0.016
  0.489 V-r'   0.194  0.017
  1.205 V-r'   0.391  0.034
  1.251 V-r'   0.441  0.033
  1.320 V-r'   0.366  0.038
  1.398 V-r'   0.310  0.037
  1.471 V-r'   0.429  0.032
  2.185 V-r'   0.662  0.113
  2.263 V-r'   0.513  0.074
  2.337 V-r'   0.619  0.077
  2.412 V-r'   0.463  0.081
  2.485 V-r'   0.441  0.099
  3.192 V-r'   0.295  0.091
  3.333 V-r'   0.253  0.095
  3.498 V-r'   0.460  0.121
  5.141 V-r'   0.057  0.287
  6.140 V-r'  -0.041  0.123
  0.190 r'-i' -0.147  0.023
  0.236 r'-i' -0.103  0.018
  0.293 r'-i' -0.116  0.019
  0.351 r'-i' -0.100  0.019
  0.396 r'-i' -0.103  0.018
  0.445 r'-i' -0.097  0.017
  0.494 r'-i' -0.045  0.019
  1.210 r'-i'  0.010  0.032
  1.256 r'-i' -0.036  0.035
  1.325 r'-i'  0.042  0.034
  1.403 r'-i'  0.049  0.036
  1.476 r'-i' -0.002  0.037
  2.192 r'-i' -0.095  0.091
  2.274 r'-i' -0.043  0.078
  2.348 r'-i' -0.113  0.078
  2.424 r'-i' -0.104  0.080
  2.496 r'-i' -0.074  0.092
  3.203 r'-i' -0.232  0.088
  3.344 r'-i' -0.153  0.126
  3.509 r'-i' -0.246  0.155
  4.259 r'-i' -0.471  0.238
  6.151 r'-i' -0.209  0.207
  6.381 r'-i'  1.280  0.222
