# M31N 2008-12a 
# 2014 eruption UV/optical light curves
# Darnley et al. 2014, A+A, 580, 45
# band  t       mag     magerr
B  -0.15100  18.97   0.14
B  0.12200   18.7    0.2
B  0.17800 18.714  0.015
B  0.22300 18.706  0.015
B  0.28000 18.739  0.015
B  0.33800 18.806  0.014
B  0.38400 18.850  0.013
B  0.43300 18.915  0.015
B  0.48000  18.95   0.04
B  0.48100 18.997  0.014
B  1.19800 19.871  0.029
B  1.24300 19.991  0.028
B  1.31200 20.071  0.029
B  1.39000 20.141  0.029
B  1.46400 20.157  0.024
B  2.17500 20.863  0.093
B  2.24600 20.834  0.049
B  2.32000 20.827  0.049
B  2.39500 20.866  0.050
B  2.46800 20.891  0.066
B  3.17500 20.945  0.102
B  3.31600 20.792  0.044
B  3.48100 21.114  0.059
B  4.23100 21.510  0.153
B  5.34900 21.320  0.174
B  6.12300 21.293  0.122

V -0.40100  18.71   0.14
V -0.16400  18.68   0.10
V 0.11500   18.5    0.1
V 0.18300 18.592  0.015
V 0.22800 18.583  0.014
V 0.28500 18.599  0.014
V 0.34300 18.668  0.014
V 0.38800 18.704  0.013
V 0.43800 18.769  0.013
V 0.45800  18.78   0.04
V 0.47700  18.74   0.30
V 0.48600 18.813  0.013
V 0.51400  18.74   0.09
V 1.20300 19.856  0.028
V 1.24800 19.894  0.028
V 1.31700 19.976  0.032
V 1.39500 19.983  0.030
V 1.46900 20.102  0.026
V 2.18200 21.089  0.101
V 2.25700 20.945  0.057
V 2.33100 21.102  0.064
V 2.40700 21.010  0.069
V 2.48000 21.043  0.087
V 3.18700 20.771  0.073
V 3.32800 20.865  0.067
V 3.49200 21.350  0.093
V 5.13500 21.764  0.210
V 6.13400 21.214  0.081
V 8.12600 22.334  0.183

r' -0.79600 18.862  0.022
r' 0.18800 18.466  0.012
r' 0.23300 18.498  0.010
r' 0.29000 18.498  0.010
r' 0.34800 18.523  0.011
r' 0.39300 18.560  0.011
r' 0.44300 18.596  0.010
r' 0.49100 18.619  0.011
r' 1.20800 19.466  0.019
r' 1.25300 19.453  0.018
r' 1.32200 19.609  0.019
r' 1.40000 19.672  0.021
r' 1.47400 19.673  0.020
r' 2.18900 20.427  0.051
r' 2.26800 20.432  0.047
r' 2.34200 20.483  0.042
r' 2.41800 20.547  0.042
r' 2.49100 20.602  0.048
r' 3.19800 20.475  0.054
r' 3.33900 20.613  0.067
r' 3.50300 20.890  0.077
r' 4.25300 21.183  0.131
r' 5.14600 21.708  0.196
r' 6.14500 21.254  0.093
r' 6.37500 22.086  0.199

i' 0.19200 18.614  0.019
i' 0.23800 18.601  0.015
i' 0.29500 18.614  0.016
i' 0.35300 18.623  0.016
i' 0.39800 18.663  0.015
i' 0.44800 18.693  0.014
i' 0.49600 18.664  0.015
i' 1.21300 19.456  0.026
i' 1.25800 19.489  0.030
i' 1.32700 19.567  0.028
i' 1.40500 19.624  0.029
i' 1.47900 19.675  0.031
i' 2.19600 20.522  0.076
i' 2.28000 20.475  0.062
i' 2.35400 20.596  0.065
i' 2.42900 20.651  0.068
i' 2.50200 20.676  0.079
i' 3.20900 20.708  0.069
i' 3.35000 20.766  0.106
i' 3.51500 21.137  0.135
i' 4.26400 21.655  0.198
i' 6.15700 21.464  0.186
i' 6.38700 20.806  0.099
i' 8.14800 20.952  0.098

Ha 2.20300 18.882  0.041
Ha 2.29100 18.914  0.034
Ha 2.36500 18.922  0.036
Ha 2.44000 19.012  0.036
Ha 2.51300 19.043  0.035
Ha 3.22000 19.098  0.039
Ha 3.36100 19.202  0.044
Ha 3.52600 19.459  0.066
Ha 4.27600 19.797  0.085
Ha 5.16900 20.200  0.119
Ha 6.16800 20.658  0.133
Ha 6.39800 20.857  0.150
