# mu_spock1NW mu_spock2SE mu_host
42.034133 12.719778 2.942064
35.854579 12.191534 2.825936
38.716407 12.357921 2.955390
35.548754 12.441216 2.906939
33.066034 12.490992 2.896240
35.705381 12.401341 2.902630
39.783655 12.270509 2.918439
32.146940 12.606192 2.983213
44.125690 14.358741 3.014571
36.209087 12.407704 2.991965
52.068531 14.540117 3.011941
39.368699 12.536401 2.819269
41.841730 12.611597 2.891148
35.204685 12.513935 3.033420
34.686187 13.300879 3.115867
33.819835 12.718699 2.976052
38.446514 12.444539 2.956575
42.024946 12.550962 2.991259
39.407804 12.171915 2.888729
41.363904 11.866093 2.864007
39.227515 12.543277 2.925304
34.623412 12.594835 2.942806
43.079041 12.291283 2.932185
34.139809 13.120295 2.911957
27.178063 14.282897 3.022220
82.694331 13.951311 3.017111
34.420897 13.142972 2.908752
38.588328 12.367728 2.909193
42.201619 14.043493 2.932178
35.150543 12.726048 2.888307
40.787065 12.517349 2.930844
34.534674 12.047671 2.947738
34.287781 12.295032 2.931651
28.596441 13.851088 3.000178
38.358636 11.693783 2.912815
43.533093 12.341967 3.016763
26.298875 14.805261 3.035005
37.492674 12.737087 2.894898
50.904892 11.926925 2.905546
36.854965 12.286662 2.941623
36.518771 12.981293 2.953031
36.221198 12.369090 2.935323
39.142870 12.736751 3.023660
33.047897 13.011014 2.916030
29.707884 14.256585 3.061102
42.106053 12.370594 2.913828
33.404861 14.577954 3.053257
37.408889 12.815880 2.978926
36.825672 12.181930 2.951507
35.573414 13.248604 2.990431
37.395748 12.205409 3.010043
39.764122 12.455043 2.883512
38.448794 12.255775 2.953329
49.057136 14.316318 2.969521
25.421261 14.674414 2.952104
45.243826 12.371544 3.016580
39.341849 12.453341 2.888688
39.756491 12.374649 2.858447
33.416777 13.075964 2.900188
36.141119 12.534346 2.995187
30.007546 14.683597 3.077074
40.317654 12.304768 2.918456
37.374447 11.998284 2.848673
39.698971 12.350814 2.970501
40.615901 12.579515 3.004991
32.817185 13.437072 2.917628
47.257535 12.569895 2.957435
40.152993 12.409717 2.942235
36.174962 12.585646 2.876937
31.528965 12.670373 2.870971
32.790756 12.552432 2.921453
35.448789 12.837939 2.891907
41.986973 12.471986 2.932376
26.508044 14.111510 3.087712
40.063711 12.958441 2.964705
33.521708 12.530027 2.940685
35.263167 13.343488 2.949141
57.811184 12.429956 2.961028
35.088907 12.746274 2.973612
41.237342 14.826076 2.957552
35.577333 12.180036 2.869346
41.413985 12.414702 2.907808
35.602478 13.183469 2.978858
39.973480 13.179073 3.016552
71.993286 12.843620 2.995562
36.762423 11.977520 2.850488
37.756720 13.059327 2.968543
35.096811 13.392307 3.006982
33.061317 12.585889 2.981894
44.048724 12.883977 3.068218
39.354322 12.456452 2.935787
38.276321 12.449230 2.938168
26.749550 14.573476 2.972634
27.758650 14.139971 2.969451
41.011065 12.225285 2.923689
34.879765 12.221449 2.978092
37.475837 12.219627 2.937254
40.491693 12.218098 2.898904
34.686308 11.888886 2.917480
36.368422 13.086405 2.943560
