# event  obsband  restband   deltatrest   kcor
nw  f435w  bessellux  0.000  -0.820 
nw  f435w  bessellux  0.100  -0.828 
nw  f435w  bessellux  0.200  -0.842 
nw  f435w  bessellux  0.300  -0.856 
nw  f435w  bessellux  0.400  -0.870 
nw  f435w  bessellux  0.500  -0.884 
nw  f435w  bessellux  0.600  -0.891 
nw  f435w  bessellux  0.700  -0.912 
nw  f435w  bessellux  0.800  -0.919 
nw  f435w  bessellux  0.900  -0.933 
nw  f435w  bessellux  1.000  -0.940 
nw  f435w  bessellux  1.100  -0.953 
nw  f435w  bessellux  1.200  -0.967 
nw  f435w  bessellux  1.300  -0.980 
nw  f435w  bessellux  1.400  -0.994 
nw  f435w  bessellux  1.500  -1.001 
nw  f435w  bessellux  1.600  -1.014 
nw  f435w  bessellux  1.700  -1.027 
nw  f435w  bessellux  1.800  -1.041 
nw  f435w  bessellux  1.900  -1.047 
nw  f814w  bessellb  0.000  -0.762 
nw  f814w  bessellb  0.100  -0.763 
nw  f814w  bessellb  0.200  -0.765 
nw  f814w  bessellb  0.300  -0.766 
nw  f814w  bessellb  0.400  -0.768 
nw  f814w  bessellb  0.500  -0.770 
nw  f814w  bessellb  0.600  -0.770 
nw  f814w  bessellb  0.700  -0.773 
nw  f814w  bessellb  0.800  -0.774 
nw  f814w  bessellb  0.900  -0.776 
nw  f814w  bessellb  1.000  -0.776 
nw  f814w  bessellb  1.100  -0.778 
nw  f814w  bessellb  1.200  -0.780 
nw  f814w  bessellb  1.300  -0.782 
nw  f814w  bessellb  1.400  -0.784 
nw  f814w  bessellb  1.500  -0.785 
nw  f814w  bessellb  1.600  -0.787 
nw  f814w  bessellb  1.700  -0.789 
nw  f814w  bessellb  1.800  -0.791 
nw  f814w  bessellb  1.900  -0.792 
se  f125w  sdssr  0.000  -0.815 
se  f125w  sdssr  0.100  -0.818 
se  f125w  sdssr  0.200  -0.820 
se  f125w  sdssr  0.300  -0.823 
se  f125w  sdssr  0.400  -0.825 
se  f125w  sdssr  0.500  -0.828 
se  f125w  sdssr  0.600  -0.830 
se  f125w  sdssr  0.700  -0.833 
se  f125w  sdssr  0.800  -0.836 
se  f125w  sdssr  0.900  -0.838 
se  f125w  sdssr  1.000  -0.841 
se  f125w  sdssr  1.100  -0.844 
se  f125w  sdssr  1.200  -0.847 
se  f125w  sdssr  1.300  -0.850 
se  f125w  sdssr  1.400  -0.853 
se  f125w  sdssr  1.500  -0.855 
se  f125w  sdssr  1.600  -0.859 
se  f125w  sdssr  1.700  -0.862 
se  f125w  sdssr  1.800  -0.865 
se  f125w  sdssr  1.900  -0.868 
se  f125w  sdssr  2.000  -0.871 
se  f125w  sdssr  2.100  -0.874 
se  f125w  sdssr  2.200  -0.877 
se  f125w  sdssr  2.300  -0.880 
se  f125w  sdssr  2.400  -0.883 
se  f125w  sdssr  2.500  -0.888 
se  f125w  sdssr  2.600  -0.891 
se  f125w  sdssr  2.700  -0.894 
se  f125w  sdssr  2.800  -0.896 
se  f125w  sdssr  2.900  -0.900 
se  f125w  sdssr  3.000  -0.904 
se  f125w  sdssr  3.100  -0.907 
se  f125w  sdssr  3.200  -0.911 
se  f125w  sdssr  3.300  -0.914 
se  f125w  sdssr  3.400  -0.918 
se  f125w  sdssr  3.500  -0.921 
se  f125w  sdssr  3.600  -0.924 
se  f125w  sdssr  3.700  -0.928 
se  f125w  sdssr  3.800  -0.932 
se  f125w  sdssr  3.900  -0.936 
se  f125w  sdssr  4.000  -0.938 
se  f125w  sdssr  4.100  -0.942 
se  f125w  sdssr  4.200  -0.945 
se  f125w  sdssr  4.300  -0.950 
se  f125w  sdssr  4.400  -0.953 
se  f125w  sdssr  4.500  -0.957 
se  f125w  sdssr  4.600  -0.959 
se  f125w  sdssr  4.700  -0.964 
se  f125w  sdssr  4.800  -0.967 
se  f125w  sdssr  4.900  -0.971 
se  f125w  sdssr  5.000  -0.974 
se  f125w  sdssr  5.100  -0.978 
se  f125w  sdssr  5.200  -0.981 
se  f125w  sdssr  5.300  -0.985 
se  f125w  sdssr  5.400  -0.988 
se  f125w  sdssr  5.500  -0.992 
se  f125w  sdssr  5.600  -0.996 
se  f125w  sdssr  5.700  -1.000 
se  f125w  sdssr  5.800  -1.003 
se  f125w  sdssr  5.900  -1.005 
se  f125w  sdssr  6.000  -1.010 
se  f125w  sdssr  6.100  -1.013 
se  f125w  sdssr  6.200  -1.017 
se  f125w  sdssr  6.300  -1.020 
se  f125w  sdssr  6.400  -1.023 
se  f125w  sdssr  6.500  -1.027 
se  f125w  sdssr  6.600  -1.030 
se  f125w  sdssr  6.700  -1.033 
se  f125w  sdssr  6.800  -1.036 
se  f125w  sdssr  6.900  -1.040 
se  f125w  sdssr  7.000  -1.044 
se  f125w  sdssr  7.100  -1.046 
se  f125w  sdssr  7.200  -1.049 
se  f160w  sdssi  0.000  -0.800 
se  f160w  sdssi  0.100  -0.801 
se  f160w  sdssi  0.200  -0.802 
se  f160w  sdssi  0.300  -0.803 
se  f160w  sdssi  0.400  -0.804 
se  f160w  sdssi  0.500  -0.805 
se  f160w  sdssi  0.600  -0.805 
se  f160w  sdssi  0.700  -0.806 
se  f160w  sdssi  0.800  -0.807 
se  f160w  sdssi  0.900  -0.808 
se  f160w  sdssi  1.000  -0.808 
se  f160w  sdssi  1.100  -0.809 
se  f160w  sdssi  1.200  -0.810 
se  f160w  sdssi  1.300  -0.811 
se  f160w  sdssi  1.400  -0.811 
se  f160w  sdssi  1.500  -0.812 
se  f160w  sdssi  1.600  -0.812 
se  f160w  sdssi  1.700  -0.813 
se  f160w  sdssi  1.800  -0.814 
se  f160w  sdssi  1.900  -0.814 
se  f160w  sdssi  2.000  -0.815 
se  f160w  sdssi  2.100  -0.815 
se  f160w  sdssi  2.200  -0.816 
se  f160w  sdssi  2.300  -0.816 
se  f160w  sdssi  2.400  -0.817 
se  f160w  sdssi  2.500  -0.817 
se  f160w  sdssi  2.600  -0.818 
se  f160w  sdssi  2.700  -0.818 
se  f160w  sdssi  2.800  -0.819 
se  f160w  sdssi  2.900  -0.819 
se  f160w  sdssi  3.000  -0.820 
se  f160w  sdssi  3.100  -0.820 
se  f160w  sdssi  3.200  -0.820 
se  f160w  sdssi  3.300  -0.821 
se  f160w  sdssi  3.400  -0.821 
se  f160w  sdssi  3.500  -0.822 
se  f160w  sdssi  3.600  -0.822 
se  f160w  sdssi  3.700  -0.822 
se  f160w  sdssi  3.800  -0.823 
se  f160w  sdssi  3.900  -0.823 
se  f160w  sdssi  4.000  -0.823 
se  f160w  sdssi  4.100  -0.824 
se  f160w  sdssi  4.200  -0.824 
se  f160w  sdssi  4.300  -0.824 
se  f160w  sdssi  4.400  -0.825 
se  f160w  sdssi  4.500  -0.825 
se  f160w  sdssi  4.600  -0.825 
se  f160w  sdssi  4.700  -0.825 
se  f160w  sdssi  4.800  -0.826 
se  f160w  sdssi  4.900  -0.826 
se  f160w  sdssi  5.000  -0.826 
se  f160w  sdssi  5.100  -0.826 
se  f160w  sdssi  5.200  -0.827 
se  f160w  sdssi  5.300  -0.827 
se  f160w  sdssi  5.400  -0.827 
se  f160w  sdssi  5.500  -0.827 
se  f160w  sdssi  5.600  -0.828 
se  f160w  sdssi  5.700  -0.828 
se  f160w  sdssi  5.800  -0.828 
se  f160w  sdssi  5.900  -0.828 
se  f160w  sdssi  6.000  -0.828 
se  f160w  sdssi  6.100  -0.829 
se  f160w  sdssi  6.200  -0.829 
se  f160w  sdssi  6.300  -0.829 
se  f160w  sdssi  6.400  -0.829 
se  f160w  sdssi  6.500  -0.829 
se  f160w  sdssi  6.600  -0.829 
se  f160w  sdssi  6.700  -0.830 
se  f160w  sdssi  6.800  -0.830 
se  f160w  sdssi  6.900  -0.830 
se  f160w  sdssi  7.000  -0.830 
se  f160w  sdssi  7.100  -0.830 
se  f160w  sdssi  7.200  -0.830 
