# Shafter+ 2011 Table 6 : Light-Curve Parameters
#Nova       Filter Mmax errMmax FadeRate errFadeRate t2 errt2
M31N-1999-08f  r  -7.54  0.11 0.063  0.002   31.7  0.9   
M31N-2001-10a  r  -7.54  0.11 0.040  0.004   50.2  4.9   
M31N-2002-08a  R  -7.49  0.20 0.044  0.005   45.8  5.1   
M31N-2004-08b  R  -7.24  0.25 0.038  0.002   52.0  3.3   
M31N-2004-09a  R  -7.10  0.20 0.056  0.006   35.5  3.7   
M31N-2004-11a  R  -8.04  0.25 0.105  0.010   19.1  1.9   
M31N-2004-11b  R  -7.94  0.20 0.042  0.002   47.2  2.6   
M31N-2005-01a  R  -9.59  0.17 0.105  0.009   19.0  1.6   
M31N-2005-07a  R  -7.16  0.25 0.017  0.003   120.9  23.5 
M31N-2006-06a  R  -7.04  0.11 0.030  0.006   67.3  13.2  
M31N-2006-09c  R  -7.88  0.14 0.087  0.006   23.1  1.6   
M31N-2006-10a  B  -7.54  0.11 0.035  0.002   56.7  3.1   
M31N-2006-10a  V  -7.67  0.11 0.035  0.002   57.5  3.1   
M31N-2006-10a  R  -6.64  0.20 0.021  0.005   94.3  20.6  
M31N-2006-10b  B  -7.85  0.11 0.287  0.018   7.0  0.4 
M31N-2006-10b  V  -7.98  0.11 0.345  0.018   5.8  0.3 
M31N-2006-11a  R  -8.54  0.20 0.070  0.006   28.7  2.6   
M31N-2006-12a  R  -7.24  0.25 0.057  0.007   34.9  4.5   
M31N-2007-02b  R  -7.88  0.20 0.059  0.006   34.1  3.6   
M31N-2007-07e  R  -6.64  0.35 0.044  0.010   45.6  10.5  
M31N-2007-08d  R  -6.44  0.11 0.025  0.003   80.5  10.5  
M31N-2007-10a  B  -8.25  0.11 0.222  0.013   9.0  0.5 
M31N-2007-10a  V  -8.38  0.11 0.255  0.013   7.9  0.4 
M31N-2007-10a  i  -6.51  0.13 0.225  0.010   8.9  0.4 
M31N-2007-10b  B  -7.60  1.15 0.508  0.067   3.9  0.5 
M31N-2007-10b  V  -8.14  1.56 0.690  0.065   2.9  0.3 
M31N-2007-10b  R  -8.18  1.44 0.639  0.085   3.1  0.4 
M31N-2007-11b  B  -5.65  0.11 0.055  0.004   36.3  2.6   
M31N-2007-11b  V  -5.78  0.11 0.044  0.003   45.4  3.5   
M31N-2007-11b  R  -6.36  0.25 0.046  0.012   43.6  11.0  
M31N-2007-11b  i  -5.45  0.14 0.027  0.006   74.4  16.7  
M31N-2007-11c  B  -8.25  0.24 0.138  0.006   14.5  0.6   
M31N-2007-11c  V  -8.20  0.27 0.155  0.007   12.9  0.6   
M31N-2007-11c  i  -7.33  0.18 0.171  0.013   11.7  0.9   
M31N-2007-11d  B  -9.35  0.11 0.143  0.009   14.0  0.9   
M31N-2007-11d  V  -9.48  0.11 0.158  0.009   12.6  0.7   
M31N-2007-11d  r  -9.64  0.11 0.153  0.009   13.1  0.8   
M31N-2007-11d  i  -8.72  0.11 0.216  0.011   9.2  0.5 
M31N-2007-12a  B  -7.02  0.12 0.078  0.005   25.6  1.6   
M31N-2007-12a  V  -7.06  0.11 0.081  0.004   24.8  1.4   
M31N-2007-12a  i  -7.19  0.11 0.068  0.004   29.6  2.0   
M31N-2007-12b  B  -8.15  0.11 0.497  0.034   4.0  0.3 
M31N-2007-12b  V  -8.28  0.11 0.548  0.033   3.6  0.2 
M31N-2007-12b  R  -8.44  0.11 0.403  0.043   5.0  0.5 
M31N-2008-05c  R  -7.54  0.11 0.038  0.002   53.0  2.8   
M31N-2008-06b  R  -8.64  0.11 0.083  0.005   24.2  1.5   
M31N-2008-07a  R  -6.24  0.11 0.005  0.001   410.0  51.3 
M31N-2008-07b  R  -6.14  0.20 0.049  0.006   40.9  4.7   
M31N-2008-08a  R  -8.04  0.20 0.094  0.011   21.2  2.5   
M31N-2008-10a  B  -7.15  0.11 0.053  0.003   37.7  2.2   
M31N-2008-10a  V  -7.28  0.11 0.052  0.003   38.3  2.2   
M31N-2008-10a  r  -7.44  0.11 0.030  0.003   67.5  6.7   
M31N-2008-10b  B  -7.08  0.12 0.020  0.003   98.4  14.9  
M31N-2008-10b  V  -6.88  0.12 0.017  0.003   117.3  21.5 
M31N-2008-10b  R  -6.56  0.25 0.032  0.015   63.3  30.2  
M31N-2008-10b  r  -6.71  0.11 0.027  0.003   73.2  8.1   
M31N-2008-11a  B  -7.75  0.11 0.522  0.029   3.8  0.2 
M31N-2008-11a  V  -7.88  0.11 0.457  0.024   4.4  0.2 
M31N-2008-11a  R  -8.04  0.11 0.378  0.044   5.3  0.6 
M31N-2008-11a  r  -8.04  0.11 0.253  0.013   7.9  0.4 
