# Yaron, Prialnik, Shara, Kovetz 2005, ApJ, 623, 398
# An Extended Grid of Nova Models. II. The Parameter Space of Nova Outbursts
# Table 3:  Complete Grid Results: Characteristics of the Outburst
# 
# MWD = mass of the WD (Msun)
# TWD = Temperature of the WD (10^6 K)
# logMdot = log10 of the mass loss rate in Msun/yr
# vmax = max expansion velocity (km/s)
# vavg = average expansion velocity over the outburst  (km/s)
# L4max = maximal luminosity attained during the outburst (Lsun)
# A = amplitude of the outburst in magnitudes 
# t3bol = time of decline of bolometric luminosity by 3 mag (days)
# tml = duration of the mass-loss phase (days)
# Prec = recurrence time in years (yr)
# MWD  TWD logMdot vmax vavg L4max A t3bol tml Prec
0.40	10	-9	234	149	7.03	15.6	1.10E+04	4.96E+01	4.12E+05
0.40	10 -10	203	97	11.90	18.2	8.06E+03	6.19E+01	5.62E+06
0.40	10 -11	819	462	23.88	21.0	5.50E+04	3.87E+01	5.87E+07
0.65	10	-6	0	0	1.18	4.2	2.65E+04	0.00E+00	8.35E+00
0.65	10 -7	0	0	1.48	6.9	5.67E+04	0.00E+00	2.45E+02
0.65	10 -8	156	122	1.52	9.4	2.93E+04	1.17E+03	1.01E+04
0.65	10 -9	2590	2150	4.76	13.2	3.83E+04	2.64E+02	1.61E+05
0.65	10 -10	4210	2650	13.70	16.8	3.23E+04	1.17E+02	2.55E+06
0.65	10 -11	1300	623	5.98	18.0	1.53E+04	2.76E+01	2.58E+07
0.65	10 -12	682	216	20.72	20.7	8.69E+03	1.10E+02	3.94E+08
0.65	10 -12.3	543	230	17.34	20.9	8.22E+02	6.20E+02	1.08E+09
0.65	30	-6	0	0	1.17	4.1	2.82E+04	0.00E+00	8.63E+00
0.65	30 -7	0	0	1.49	6.9	6.01E+04	0.00E+00	2.54E+02
0.65	30 -8	139	125	1.58	9.5	3.22E+04	1.22E+03	1.02E+04
0.65	30 -9	210	156	1.65	12.0	1.27E+04	6.79E+02	1.11E+05
0.65	30 -10	316	195	7.96	16.2	8.38E+03	4.83E+02	9.55E+05
0.65	30 -11	471	189	2.16	15.2	4.38E+02	3.74E+01	5.96E+06
0.65	30 -12	544	268	2.72	15.4	6.08E+02	2.75E+01	4.12E+07
0.65	30 -12.3	736	297	2.85	15.5	5.41E+02	2.61E+01	8.89E+07
0.65	50	-6	0	0	1.14	4.1	2.98E+04	0.00E+00	8.94E+00
0.65	50 -7	0	0	1.42	6.9	6.44E+04	0.00E+00	2.66E+02
0.65	50 -8	159	130	1.60	9.5	4.38E+04	1.17E+03	1.06E+04
0.65	50 -9	340	240	1.73	12.0	7.91E+03	4.39E+02	7.41E+04
0.65	50 -10	369	208	1.91	13.6	7.51E+03	3.59E+02	5.22E+05
0.65	50 -11	416	179	2.17	13.7	6.54E+03	3.56E+02	3.86E+06
0.65	50 -12	342	176	2.87	16.0	5.52E+03	4.00E+01	4.54E+07
0.65	50 -12.3	552	487	25.32	16.5	1.56E+03	1.69E+01	2.33E+08
1.00	10	-6	0	0	2.96	4.2	2.43E+03	0.00E+00	2.05E+00
1.00	10 -7	265	240	3.45	6.9	2.72E+03	2.10E+02	8.96E+01
1.00	10 -8	351	271	3.26	9.4	1.35E+03	1.27E+02	2.06E+03
1.00	10 -9	525	256	3.88	12.0	1.13E+03	9.35E+01	4.66E+04
1.00	10 -10	1920	1180	11.30	15.7	1.28E+02	3.36E+01	8.40E+05
1.00	10 -11	1250	1063	6.08	17.0	2.96E+03	3.54E+01	8.72E+06
1.00	10 -12	1230	292	9.80	19.1	4.19E+03	5.53E+01	9.28E+07
1.00	10 -12.3	1070	295	7.46	18.7	7.14E+03	5.70E+01	2.08E+08
1.00	30	-6	0	0	2.96	4.2	2.53E+03	0.00E+00	2.10E+00
1.00	30 -7	267	237	3.26	6.9	3.35E+03	2.17E+02	8.74E+01
1.00	30 -8	355	274	3.28	9.4	1.32E+03	1.57E+02	2.03E+03
1.00	30 -9	475	324	3.61	12.0	1.02E+03	1.41E+02	2.70E+04
1.00	30 -10	512	344	3.55	14.4	7.08E+02	1.18E+02	2.10E+05
1.00	30 -11	700	446	4.17	15.3	3.93E+02	1.03E+01	1.15E+06
1.00	30 -12	608	414	9.14	16.5	5.28E+02	1.06E+01	9.72E+06
1.00	30 -12.3	3520	3490	67.64	18.5	2.34E+02	3.82E+00	6.42E+07
1.00	50	-6	0	0	2.97	4.3	2.60E+03	0.00E+00	2.15E+00
1.00	50 -7	300	239	3.21	6.8	3.56E+03	2.53E+02	8.30E+01
1.00	50 -8	360	272	3.60	9.5	2.51E+03	2.40E+02	2.27E+03
1.00	50 -9	400	328	3.57	12.0	9.50E+02	1.43E+02	1.62E+04
1.00	50 -10	384	302	3.71	14.0	8.48E+02	9.14E+01	1.09E+05
1.00	50 -11	680	471	4.89	14.3	5.28E+02	1.22E+02	7.94E+05
1.00	50 -12	736	597	4.81	14.7	4.65E+02	1.16E+01	2.07E+07
1.00	50 -12.3	3170	3083	89.91	18.4	2.30E+02	7.25E+00	5.05E+07
1.25	10	-6	0	0	4.57	4.0	3.11E+02	0.00E+00	4.14E-01
1.25	10 -7	414	346	4.84	6.5	2.59E+02	6.51E+01	1.92E+01
1.25	10 -8	1110	568	6.38	9.3	1.31E+02	2.02E+01	3.67E+02
1.25	10 -9	1480	413	6.67	11.9	9.78E+01	9.56E+00	9.27E+03
1.25	10 -10	2230	1940	7.14	14.5	1.38E+02	2.43E+01	1.91E+05
1.25	10 -11	4240	3857	69.37	19.1	4.32E+02	9.31E+00	2.97E+06
1.25	10 -12	9680	8267	184.16	21.6	4.44E+02	5.86E+01	3.22E+07
1.25	30	-6	0	0	4.52	4.0	2.46E+02	0.00E+00	3.82E-01
1.25	30 -7	474	373	4.77	6.5	2.36E+02	6.01E+01	1.96E+01
1.25	30 -8	734	531	4.78	9.0	1.62E+02	3.22E+01	3.84E+02
1.25	30 -9	1030	589	5.14	11.6	1.25E+02	3.14E+01	5.22E+03
1.25	30 -10	1230	678	6.04	14.3	1.13E+02	2.20E+01	4.35E+04
1.25	30 -11	2110	1264	6.01	15.4	5.86E+01	2.05E+00	2.34E+05
1.25	30 -12	2710	1696	6.60	15.8	4.61E+01	2.00E+00	2.10E+06
1.25	30 -12.3	4260	3668	89.08	18.8	2.79E+00	2.20E+00	1.16E+07
1.25	50	-6	0	0	4.53	4.0	3.15E+02	0.00E+00	4.16E-01
1.25	50 -7	436	355	4.75	6.5	2.55E+02	4.75E+01	1.96E+01
1.25	50 -8	807	533	4.61	9.0	1.58E+02	4.30E+01	3.69E+02
1.25	50 -9	689	485	4.72	11.5	1.54E+02	2.47E+01	3.18E+03
1.25	50 -10	921	542	4.97	14.1	1.01E+02	3.04E+01	2.14E+04
1.25	50 -11	889	658	5.45	14.3	7.77E+01	2.59E+01	1.62E+05
1.25	50 -12	1350	751	6.30	14.6	6.91E+01	2.70E+00	4.43E+06
1.25	50 -12.3	3130	1675	12.25	15.9	4.45E+01	2.08E+00	1.11E+07
1.40	10	-6	0	0	5.92	3.4	1.08E+01	0.00E+00	1.81E-02
1.40	10 -7	1410	681	6.03	5.9	1.19E+01	4.13E+00	7.71E-01
1.40	10 -8	3060	1160	9.27	8.8	5.02E+00	1.57E+00	1.64E+01
1.40	10 -9	2850	1020	9.23	11.3	4.31E+00	1.39E+00	4.12E+02
1.40	10 -10	5270	2020	10.10	13.9	5.45E+00	6.78E-01	5.90E+03
1.40	10 -11	4660	2817	37.54	17.5	4.71E+01	2.95E+00	2.59E+05
1.40	30	-6	0	0	5.86	3.3	1.11E+01	0.00E+00	1.78E-02
1.40	30 -7	1160	723	5.99	5.9	1.19E+01	3.64E+00	7.94E-01
1.40	30 -8	1760	840	6.14	8.4	9.35E+00	4.63E+00	2.02E+01
1.40	30 -9	3760	1800	6.98	11.0	6.17E+00	1.29E+00	2.64E+02
1.40	30 -10	4490	2120	7.67	13.6	4.20E+00	1.50E+00	2.11E+03
1.40	30 -11	4710	2738	8.41	15.3	3.57E+00	1.87E-01	1.28E+04
1.40	30 -12	3310	2312	9.52	16.1	3.05E+00	1.91E-01	9.30E+04
1.40	50	-6	0	0	5.85	3.3	1.11E+01	0.00E+00	1.80E-02
1.40	50 -7	1360	812	6.01	5.8	1.25E+01	4.24E+00	8.09E-01
1.40	50 -8	1540	833	6.46	8.4	9.49E+00	4.80E+00	2.02E+01
1.40	50 -9	3740	1580	7.18	11.1	6.03E+00	1.76E+00	1.90E+02
