# A  Zitrin 1/2016
# what you asked for: a file where each line contains the TD of the
# three images (wrt image 1), these are the first two columns, the
# magnification of the three images, respectively (these are the three
# next columns) and the chi2, this is the seventh column. There are 1000
# lines corresponding to 1000 MCMC steps (including repetition, so this
# means in total the results correspond to a few hundred different
# models or so).
#       dt12           dt13              mu1           mu2              mu3           chi2
    3.2314598e+01  -1.5560004e+03   5.5484172e+01   2.6292492e+01   3.3010203e+00   9.4646706e+01
    3.2143306e+01  -1.5334845e+03   5.8501966e+01   2.5584335e+01   3.2809893e+00   1.0061727e+02
    3.3191174e+01  -1.4938635e+03   6.6431968e+01   2.3823141e+01   3.2098695e+00   1.0045632e+02
    3.2477717e+01  -1.5008657e+03   6.9347360e+01   2.3163594e+01   3.2051539e+00   9.3989484e+01
    3.2477717e+01  -1.5008657e+03   6.9347360e+01   2.3163594e+01   3.2051539e+00   9.3989484e+01
    3.0684126e+01  -1.5072765e+03   6.6646981e+01   2.3101409e+01   3.1799852e+00   9.8898532e+01
    3.1265846e+01  -1.4829864e+03   8.3652724e+01   2.1593438e+01   3.1798725e+00   9.7633906e+01
    3.1265846e+01  -1.4829864e+03   8.3652724e+01   2.1593438e+01   3.1798725e+00   9.7633906e+01
    3.1265846e+01  -1.4829864e+03   8.3652724e+01   2.1593438e+01   3.1798725e+00   9.7633906e+01
    3.1265846e+01  -1.4829864e+03   8.3652724e+01   2.1593438e+01   3.1798725e+00   9.7633906e+01
    3.1265846e+01  -1.4829864e+03   8.3652724e+01   2.1593438e+01   3.1798725e+00   9.7633906e+01
    3.1265846e+01  -1.4829864e+03   8.3652724e+01   2.1593438e+01   3.1798725e+00   9.7633906e+01
    3.1265846e+01  -1.4829864e+03   8.3652724e+01   2.1593438e+01   3.1798725e+00   9.7633906e+01
    3.0226437e+01  -1.5018028e+03   8.0181676e+01   2.1839779e+01   3.1717367e+00   9.6219824e+01
    3.0226437e+01  -1.5018028e+03   8.0181676e+01   2.1839779e+01   3.1717367e+00   9.6219824e+01
    3.0226437e+01  -1.5018028e+03   8.0181676e+01   2.1839779e+01   3.1717367e+00   9.6219824e+01
    3.0226437e+01  -1.5018028e+03   8.0181676e+01   2.1839779e+01   3.1717367e+00   9.6219824e+01
    3.0226437e+01  -1.5018028e+03   8.0181676e+01   2.1839779e+01   3.1717367e+00   9.6219824e+01
    3.0226437e+01  -1.5018028e+03   8.0181676e+01   2.1839779e+01   3.1717367e+00   9.6219824e+01
    2.7206099e+01  -1.5377299e+03   6.4277718e+01   2.3363713e+01   3.1919496e+00   9.8392681e+01
    2.6807346e+01  -1.5150188e+03   7.0850731e+01   2.2868199e+01   3.2029692e+00   9.4874722e+01
    2.6807346e+01  -1.5150188e+03   7.0850731e+01   2.2868199e+01   3.2029692e+00   9.4874722e+01
    2.6807346e+01  -1.5150188e+03   7.0850731e+01   2.2868199e+01   3.2029692e+00   9.4874722e+01
    2.6807346e+01  -1.5150188e+03   7.0850731e+01   2.2868199e+01   3.2029692e+00   9.4874722e+01
    2.9753249e+01  -1.5440834e+03   8.1509487e+01   2.1677972e+01   3.1850386e+00   1.0537687e+02
    2.8248898e+01  -1.4795863e+03   1.0673669e+02   2.0788855e+01   3.1851045e+00   1.0203135e+02
    2.9110504e+01  -1.4944405e+03   1.0325173e+02   2.0550390e+01   3.1509804e+00   9.8961763e+01
    2.9110504e+01  -1.4944405e+03   1.0325173e+02   2.0550390e+01   3.1509804e+00   9.8961763e+01
    2.9110504e+01  -1.4944405e+03   1.0325173e+02   2.0550390e+01   3.1509804e+00   9.8961763e+01
